품목일련번호,품목명,업소일련번호,업소명,성상,큰제품이미지,표시앞,표시뒤,의약품제형,색상앞,색상뒤,분할선앞,분할선뒤,크기장축,크기단축,크기두께,이미지생성일자(약학정보원),분류번호,분류명,전문일반구분,품목허가일자,제형코드명,표기내용앞,표기내용뒤,표기이미지앞,표기이미지뒤,표기코드앞,표기코드뒤,변경일자
200808876,가스디알정50밀리그램(디메크로틴산마그네슘),19540006,일동제약(주),녹색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300104,IDG,-,원형,연두,-,-,-,7.6,7.6,3.6,20100326,2390,기타의소화기관용약,전문의약품,20080820,당의정,-,-,-,-,-,-,-
200808877,페라트라정2.5밀리그램(레트로졸),19560004,(주)유한양행,어두운황색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300107,YH,LT,원형,노랑,-,-,-,6.1,6.1,3.5,20100429,4210,항악성종양제,전문의약품,20080820,필름코팅정,-,-,-,-,-,-,-
200808948,졸뎀속붕정(졸피뎀타르타르산염),20080422,보령제약(주),흰색의원형구강붕해정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300128,-,-,원형,하양,-,-,-,9,9,4,20100701,1120,최면진정제,전문의약품,20080825,정제,-,-,-,-,-,-,-
200809276,디텐션정80밀리그램(발사르탄),19700003,일성신약(주),주황색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/149935380891700140,ISP,D분할선T,원형,분홍,-,-,-,8,8,2,20120726,2140,혈압강하제,전문의약품,20080905,필름코팅정,-,-,-,-,-,-,-
200809361,바르탄정(발사르탄),19870002,(주)휴온스,엷은적색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300155,V분할선T,HS8,원형,분홍,-,-,-,6.5,6.5,1.8,20120724,2140,혈압강하제,전문의약품,20080908,필름코팅정,-,-,-,-,-,-,-
200809909,발사르텔정80밀리그램(발사르탄),20020017,주식회사제뉴원사이언스,분홍색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OCNrLiTjPI,V분할선8,KK,원형,분홍,-,-,-,8.2,8.2,3.6,20120213,2140,혈압강하제,전문의약품,20080929,필름코팅정,-,-,-,-,-,-,20210603
200810125,에스시탈정5밀리그램(에스시탈로프람옥살산염),19650001,(주)종근당,흰색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700016,CKD,ES5,원형,하양,-,-,-,6.13,6.13,2.63,20100128,1170,정신신경용제,전문의약품,20081002,필름코팅정,-,-,-,-,-,-,20220706
200810314,발산정80밀리그램(발사르탄),19900019,유니메드제약(주),엷은적색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298763309300033,V분할선A,UM,원형,분홍,-,-,-,8,8,2,20111102,2140,혈압강하제,전문의약품,20081010,필름코팅정,-,-,-,-,-,-,20190926
200810473,엑스반정80밀리그램(발사르탄),19560011,삼진제약(주),분홍색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148665498867700136,SJ,V분할선8,원형,분홍,-,-,-,8.14,8.14,3.57,20120618,2140,혈압강하제,전문의약품,20081017,필름코팅정,-,-,-,-,-,-,20190930
200810789,수로신디정(탐스로신염산염),19570001,(주)에스트라,흰색의원형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700049,PAC,-,원형,하양,-,-,-,9,9,3.5,20100219,2590,기타의비뇨생식기관및항문용약,전문의약품,20081103,-,-,-,-,-,-,-,-
200810870,로수로드정10밀리그램(로수바스타틴칼슘),19650001,(주)종근당,분홍색의원형필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706768099900035,CKDRSD10,-,원형,분홍,-,-,-,7,7,3,20090724,2180,동맥경화용제,전문의약품,20081107,필름코팅정,-,-,-,-,-,-,20220125
200811105,디오살탄정80밀리그램(발사르탄),19560004,(주)유한양행,엷은적색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298782012500031,Y분할선H,80,원형,분홍,-,-,-,8.1,8.1,3.4,20111024,2140,혈압강하제,전문의약품,20081120,필름코팅정,-,-,-,-,-,-,20191129
200811403,칸데사르정8밀리그램(칸데사르탄실렉세틸),19590003,(주)한독,양면이볼록한원형의밝은분홍색정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344800062,마크분할선C8,-,원형,분홍,-,-,-,7,7,3.2,20091006,2140,혈압강하제,전문의약품,20081204,나정,P|d,-,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938640332900187,-,r0062,-,-
200811404,칸데사르정16밀리그램(칸데사르탄실렉세틸),19570001,(주)에스트라,양면이볼록한원형의분홍색정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344800068,마크분할선C16,-,원형,분홍,-,-,-,7,7,3.2,20091006,2140,혈압강하제,전문의약품,20081204,나정,P|d,-,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938640332900187,-,r0062,-,-
200811883,인케어정(옥수수불검화정량추출물),19600009,(주)한국비엠아이,주황색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700117,BMI,-,원형,주황,-,-,-,15,15,3,20130128,2310,치과구강용약,일반의약품,20081226,필름코팅정,-,-,-,-,-,-,-
200900242,키비칼츄어블정,19620003,(유)한풍제약,분홍색의씹어먹는원형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700190,HF,-,원형,분홍,-,-,-,14.07,14.07,6.37,20100105,3160,혼합비타민제(비타민AD혼합제제를제외),일반의약품,20090106,추어블정(저작정),-,-,-,-,-,-,-
200900823,가스파플러스정,19600002,(주)일화,녹색내지연녹색의원형필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800050,IHP,G+,원형,연두,-,-,-,9.6,9.6,5.2,20090717,2320,소화성궤양용제,일반의약품,20090128,필름코팅정,-,-,-,-,-,-,-
200901187,이지에스정(방기황기탕건조엑스),19960024,한국인스팜(주),분홍색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333330132500115,INS,-,원형,자주,-,-,-,10.3,10.3,5.2,20090922,1140,해열.진통.소염제,일반의약품,20090210,필름코팅정,-,-,-,-,-,-,-
200903055,오메코프정,19590001,에이프로젠제약(주),흰색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400089,SCP,OC,원형,하양,-,-,-,11.61,11.61,5.94,20100426,1140,해열.진통.소염제,일반의약품,20090428,필름코팅정,-,-,-,-,-,-,-
200903065,산도스올란자핀정10밀리그램,20161575,한국산도스(주),흰색의원형필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MeM47xF873,SZ,10,원형,하양,-,-,-,10.5,10.5,5.4,20101222,1170,정신신경용제,전문의약품,20090428,필름코팅정,-,-,-,-,-,-,20220224
200903066,올란프레서정10mg(올란자핀),20161462,한국노바티스(주),흰색의원형필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400099,SZ,10,원형,하양,-,-,-,10.5,10.5,5.4,20111130,1170,정신신경용제,전문의약품,20090428,필름코팅정,-,-,-,-,-,-,-
